"","rdkit_graph","rdkit_broad","moa","target","disease_area","indication"
"95","O=C1NC(=O)c2c1c1c3ccccc3n3c1c1c2c2ccccc2n1C1CCC3O1","O=C1NC(=O)c2c1c1c3ccccc3n3c1c1c2c2ccccc2n1[C@H]1CC[C@H]3O1","CHK inhibitor","CHEK1","",""
"96","CCN(CCCCOC(=O)c1ccc(OC)c(OC)c1)C(C)Cc1ccc(OC)cc1","CCN(CCCCOC(=O)c1ccc(OC)c(OC)c1)[C@@H](C)Cc1ccc(OC)cc1","acetylcholine receptor antagonist","CHRM1","gastroenterology","irritable bowel syndrome"
"97","CC[C@H]1CN2CCc3cc(OC)c(OC)cc3C2C[C@@H]1CC1NCCc2cc(OC)c(OC)cc21","CC[C@H]1CN2CCc3cc(OC)c(OC)cc3[C@@H]2C[C@@H]1C[C@H]1NCCc2cc(OC)c(OC)cc21","protein synthesis inhibitor","RPS2","",""
"98","NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl","NS(=O)(=O)c1cc([C@@]2(O)NC(=O)c3ccccc32)ccc1Cl","carbonic anhydrase inhibitor","CA1|CA12|CA14|CA2|CA4|CA7|SLC12A1","cardiology|gastroenterology|rheumatology|nephrology","hypertension|edema|congestive heart failure|hepatic cirrhosis|nephrotic syndrome|acute glomerulonephritis (AGN)|chronic renal failure"
"99","C=CC[C@]1(O)CCC2C3CCC4=CC(=O)CCC4=C3C=C[C@@]21C","C=CC[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@@]21C","progestogen hormone","PGR","endocrinology","estrus"
"100","CN(C)CCOC(c1ccc(Cl)cc1)c1ccccn1","CN(C)CCO[C@@H](c1ccc(Cl)cc1)c1ccccn1","histamine receptor antagonist","HRH1","allergy|ophthalmology|otolaryngology|dermatology","allergic rhinitis|conjunctivitis|vasomotor rhinitis|dermatographism"
"101","COC(=O)Nc1nc2ccc(S(=O)c3ccccc3)cc2[nH]1","COC(=O)Nc1nc2ccc([S@@](=O)c3ccccc3)cc2[nH]1","anthelmintic agent","","infectious disease","lungworms|tapeworm|gastrointestinal roundworms"
"102","COc1cc([C@@H]2c3cc4c(cc3C(O[C@@H]3O[C@@H]5CO[C@@H](c6cccs6)OC5[C@H](O)[C@H]3O)C3COC(=O)[C@@H]32)OCO4)cc(OC)c1O","COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](c6cccs6)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O","topoisomerase inhibitor","TOP2A|TOP2B","hematologic malignancy","acute lymphoblastic leukemia (ALL)"
"103","COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1","COc1ccc([C@@H](CN(C)C)C2(O)CCCCC2)cc1","adrenergic inhibitor|norepinephrine reuptake inhibitor|serotonin–norepinephrine reuptake inhibitor (SNRI)","SLC6A2|SLC6A4","neurology/psychiatry","depression|generalized anxiety disorder (GAD)|panic disorders|social anxiety disorder"
"104","CCOC(=O)c1cncn1C(C)c1ccccc1","CCOC(=O)c1cncn1[C@H](C)c1ccccc1","GABA receptor modulator","ADRA2B|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ","neurology/psychiatry","general anaesthetic"
"105","CC1CC(C)C(=O)C(C(O)CC2CC(=O)NC(=O)C2)C1","C[C@H]1C[C@H](C)C(=O)[C@H]([C@H](O)CC2CC(=O)NC(=O)C2)C1","protein synthesis inhibitor","RPL3","",""
"106","C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)C6CC[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)C6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O","C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6CC[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O","ATPase inhibitor","ATP1A1|ATP1A2|ATP1A3|ATP1A4|ATP1B1|ATP1B2|ATP1B3|FXYD2","cardiology","congestive heart failure|cardiac arrythmia"
"107","CC(=O)OCC(=O)[C@@]1(O)[C@H](C)CC2C3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C","CC(=O)OCC(=O)[C@@]1(O)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C","glucocorticoid receptor agonist","NR3C1","dermatology","corticosteroid-responsive dermatoses"
"108","C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)C6C[C@@H](O)[C@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)C6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O","C[C@H]1O[C@@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@]5(C)[C@H]6C[C@@H](O)[C@@]7(C)[C@@H](C8=CC(=O)OC8)CC[C@]7(O)[C@@H]6CC[C@@H]5C4)O[C@@H]3C)O[C@@H]2C)C[C@H](O)[C@@H]1O","ATPase inhibitor","ATP1A1","cardiology","congestive heart failure|atrial fibrillation (AF)"
"109","CCN1CCCC(OC(=O)C(c2ccccc2)c2ccccc2)C1","CCN1CCC[C@H](OC(=O)C(c2ccccc2)c2ccccc2)C1","acetylcholine receptor antagonist","CHRM1","neurology/psychiatry","spasms"
"110","CC(C)NCC(O)COc1cccc2[nH]ccc12","CC(C)NC[C@@H](O)COc1cccc2[nH]ccc12","adrenergic receptor antagonist","ADRB1|ADRB2|HTR1A|HTR2A|HTR2B","cardiology","hypertension"
"111","Clc1ccccc1CN1CCc2sccc2C1","Clc1ccccc1CN1CCc2sccc2C1","purinergic receptor antagonist","P2RY12","hematology|neurology/psychiatry","thrombosis|stroke"
"112","Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2","Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2","norepinephrine reputake inhibitor","ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|DRD5|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|HRH1|HRH4|HTR1A|HTR1B|HTR2A|HTR2B|HTR2C|HTR3A|HTR6|HTR7|SLC6A2|SLC6A3|SLC6A4","neurology/psychiatry","depression"
"113","Cn1cc(C2=C(c3cn(CCCSC(=N)N)c4ccccc34)C(=O)NC2=O)c2ccccc21","Cn1cc(C2=C(c3cn(CCCSC(=N)N)c4ccccc34)C(=O)NC2=O)c2ccccc21","PKC inhibitor","AKT1|GSK3B|LCK|MAPK1|MAPK11|MAPK12|MAPK14|MAPK8|PRKCA|ROCK1|RPS6KB1|SIRT1","",""
"114","COc1cc2c(cc1OC)-c1cc3nc4ccccc4nc3n1C(C)(C)C2","COc1cc2c(cc1OC)-c1cc3nc4ccccc4nc3n1C(C)(C)C2","IL5 inhibitor","CSF2RB|IL5RA","",""
"115","O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl","O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl","cyclooxygenase inhibitor","AKR1C3|ALOX5|ASIC1|ASIC3|KCNQ2|KCNQ3|PLA2G2A|PPARG|PTGS1|PTGS2|SCN4A","rheumatology|neurology/psychiatry","rheumatoid arthritis|osteoarthritis|migraine headache"
"116","Oc1c(Cl)cc(Cl)c2cccnc12","Oc1c(Cl)cc(Cl)c2cccnc12","opioid receptor antagonist","OPRK1","gastroenterology|infectious disease|dermatology","diarrhea|inflammatory bowel disease|giardiasis|dandruff"
"117","C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O","C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O","antioxidant|capillary stabilizing agent|nitric oxide scavenger","AKR1C3","rheumatology|otolaryngology|gastroenterology|neurology/psychiatry|allergy","joint pain|nasal congestion|constipation|irritability|allergic rhinitis"
"118","COc1cc(COc2cc(N)c(Cl)cc2C(=O)CCC2CCN(CCNS(C)(=O)=O)CC2)cc(OC)c1","COc1cc(COc2cc(N)c(Cl)cc2C(=O)CCC2CCN(CCNS(C)(=O)=O)CC2)cc(OC)c1","serotonin receptor antagonist","HTR4","",""
"119","O=c1ccc2ccccc2o1","O=c1ccc2ccccc2o1","vitamin K antagonist","CA1|CA12|CA14|CA2|CA4|CA6|CA9|CYP2A6","gastroenterology|pulmonary","ulcerative colitis|asthma|celiac disease"
"120","CCC(=O)O[C@H]1[C@H](O[C@@H]2[C@@H](C)[C@H](O[C@H]3C[C@@](C)(OC)[C@@H](O)[C@H](C)O3)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]2(C)O)O[C@H](C)C[C@@H]1N(C)C","CCC(=O)O[C@H]1[C@H](O[C@@H]2[C@@H](C)[C@H](O[C@H]3C[C@@](C)(OC)[C@@H](O)[C@H](C)O3)[C@@H](C)C(=O)O[C@H](CC)[C@@](C)(O)[C@H](O)[C@@H](C)C(=O)[C@H](C)C[C@@]2(C)O)O[C@H](C)C[C@@H]1N(C)C","bacterial 50S ribosomal subunit inhibitor","ABCB1|ALB|CYP3A4|CYP51A1|KCNH2|MLNR|SLC47A1","infectious disease","listeria|respiratory tract infections|skin infections|syphilis|amebiasis|pelvic inflammatory disease|chlamydia|diphtheria|erythrasma"
"121","CCCC(C(=O)OCCN(CC)CC)(c1ccccc1)c1ccccc1","CCCC(C(=O)OCCN(CC)CC)(c1ccccc1)c1ccccc1","nitric oxide synthase inhibitor","NOS1","",""
"122","CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O","CC1(C)S[C@@H]2[C@H](NC(=O)Cc3ccccc3)C(=O)N2[C@H]1C(=O)O","penicillin binding protein inhibitor","","infectious disease","celluitis|meningitis|endocarditis|syphilis|pneumonia|bacterial septicemia"
"123","O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1","O=C1CCc2cc(OCCCCc3nnnn3C3CCCCC3)ccc2N1","phosphodiesterase inhibitor","PDE3A|PDE3B","cardiology","claudication"
"124","CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21","CN(C)CCC[C@@]1(c2ccc(F)cc2)OCc2cc(C#N)ccc21","selective serotonin reuptake inhibitor (SSRI)","SLC6A4","neurology/psychiatry","depression|generalized anxiety disorder (GAD)"
"125","O=C(Oc1cccc2cccnc12)c1ccccc1","O=C(Oc1cccc2cccnc12)c1ccccc1","antiinfective drug","","",""
"126","O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12","O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12","adrenergic receptor antagonist|serotonin receptor antagonist|serotonin reuptake inhibitor","ADRA1A|ADRA2A|HRH1|HTR1A|HTR2A|HTR2B|HTR2C|SLC6A4","neurology/psychiatry","depression"
"127","Nc1c(S(=O)(=O)O)cc(Nc2cccc3ccccc23)c2c1C(=O)c1ccccc1C2=O","Nc1c(S(=O)(=O)O)cc(Nc2cccc3ccccc23)c2c1C(=O)c1ccccc1C2=O","NTPDase inhibitor","ENTPD3","",""
"128","CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O","CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O","HMGCR inhibitor","HMGCR","endocrinology|cardiology","hyperlipidemia|dyslipidemia|hypertriglyceridemia|hypercholesterolemia|atherosclerosis"
"129","CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1","CC(C)(C)c1ccc([C@@H](O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1","histamine receptor antagonist","HRH1|KCNH1|KCNH2","",""
"130","COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C3=O)C2CCC(=O)[C@@]2(C)C[C@H]1OC(C)=O","COC[C@H]1OC(=O)c2coc3c2[C@@]1(C)C1=C(C3=O)[C@@H]2CCC(=O)[C@@]2(C)C[C@H]1OC(C)=O","PI3K inhibitor","PI4KA|PI4KB|PIK3CA|PIK3CD|PIK3CG|PIK3R1|PLK1|PRKDC","",""
"131","C[C@@H]1O[C@@H](O[C@@H]2C=C3CCC4C(CC[C@]5(C)[C@@H](c6ccc(=O)oc6)CC[C@]45O)[C@@]3(C)CC2)[C@H](O)[C@H](O)[C@H]1O","C[C@@H]1O[C@@H](O[C@@H]2C=C3CC[C@@H]4[C@H](CC[C@]5(C)[C@@H](c6ccc(=O)oc6)CC[C@]45O)[C@@]3(C)CC2)[C@H](O)[C@H](O)[C@H]1O","","","cardiology","congestive heart failure|cardiac arrythmia"
"132","CO[C@]12[C@@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1N[C@H]12","CO[C@@]12[C@H](COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1C[C@@H]1N[C@@H]12","DNA alkylating agent|DNA synthesis inhibitor","","oncology","pancreatic cancer|gastric adenocarcinoma"
"133","CO[C@H]1CC(O[C@@H]2/C(C)=C/C[C@@H]3C[C@@H](C[C@]4(CC[C@H](C)[C@@H](C5CCCCC5)O4)O3)OC(=O)[C@@H]3C=C(C)/C(=N/O)[C@H]4OC/C(=C\C=C\[C@@H]2C)[C@@]34O)O[C@@H](C)C1O","CO[C@H]1C[C@H](O[C@@H]2/C(C)=C/C[C@@H]3C[C@@H](C[C@]4(CC[C@H](C)[C@@H](C5CCCCC5)O4)O3)OC(=O)[C@@H]3C=C(C)/C(=N/O)[C@H]4OC/C(=C\C=C\[C@@H]2C)[C@@]34O)O[C@@H](C)[C@@H]1O","nematocide","","infectious disease","flea control"
"134","C[C@@H]1O[C@@H](O[C@H]2C[C@@H](O)[C@]3(CO)C4C(CC[C@]3(O)C2)[C@@]2(O)CC[C@H](C3=CC(=O)OC3)[C@@]2(C)C[C@H]4O)[C@H](O)[C@H](O)[C@H]1O","C[C@@H]1O[C@@H](O[C@@H]2C[C@@H](O)[C@]3(CO)[C@H]4[C@H](O)C[C@]5(C)[C@@H](C6=CC(=O)OC6)CC[C@]5(O)[C@@H]4CC[C@]3(O)C2)[C@H](O)[C@H](O)[C@H]1O","ATPase inhibitor","ATP1A1","cardiology","hypertension|cardiac arrythmia"
"135","COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@@H](O)[C@H](C)O1","COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1","topoisomerase inhibitor","TOP2A","hematologic malignancy|oncology","acute lymphoblastic leukemia (ALL)|acute myeloid leukemia (AML)|Wilm's tumor|breast cancer|ovarian cancer|Hodgkin's lymphoma|bladder cancer|multiple myeloma"
"136","O=C(O)Cc1cccc(OCCCN(Cc2cccc(C(F)(F)F)c2Cl)CC(c2ccccc2)c2ccccc2)c1","O=C(O)Cc1cccc(OCCCN(Cc2cccc(C(F)(F)F)c2Cl)CC(c2ccccc2)c2ccccc2)c1","LXR agonist","NR1H2|NR1H3","",""
"137","CN(C)CCC=C1c2ccccc2COc2ccccc21","CN(C)CC/C=C1/c2ccccc2COc2ccccc21","histamine receptor antagonist","HRH1|SLC6A2|SLC6A4","neurology/psychiatry","depression|anxiety"
"138","O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1ccc(O)c(O)c1)c1cc(O)c(O)c(O)c1","O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1ccc(O)c(O)c1)c1cc(O)c(O)c(O)c1","bacterial DNA gyrase inhibitor","BACE1|FASN","",""
"139","Cn1nc(N)c2cn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c3ncnc1c23","Cn1nc(N)c2cn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c3ncnc1c23","AKT inhibitor","AKT1|AKT2|AKT3","",""
"140","O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O","O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O","DNA replication inhibitor|STAT inhibitor","STAT3","infectious disease","tapeworm"
"141","NS(=O)(=O)C#Cc1ccccc1","NS(=O)(=O)C#Cc1ccccc1","HSP inhibitor","HSPA1A|TP53","",""
"142","C=CCc1ccccc1OCC(O)CNC(C)C","C=CCc1ccccc1OC[C@H](O)CNC(C)C","adrenergic receptor antagonist","ADRB1|ADRB2","cardiology","angina pectoris"
"143","CC(=O)OCC(=O)[C@@]1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3[C@@H](O)C[C@@]21C","CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C","glucocorticoid receptor agonist","NR3C1","ophthalmology|dermatology|infectious disease","conjunctivitis|rosacea|punctate keratitis|shingles|iritis|cyclitis"
"144","CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1","C[C@@H](N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1","serotonin receptor antagonist","SLC6A4","",""
"145","COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2","COc1cc2c(cc1OC)C(=O)[C@H](CC1CCN(Cc3ccccc3)CC1)C2","acetylcholinesterase inhibitor","ACHE","neurology/psychiatry","Alzheimer's disease"
"146","COc1ccc2[nH]cc(C3=CCNCC3)c2c1","COc1ccc2[nH]cc(C3=CCNCC3)c2c1","serotonin receptor agonist","HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|HTR5A|HTR6","",""
"147","O=C1C(Cl)=C(NCCN2CCOCC2)C(=O)c2ncccc21","O=C1C(Cl)=C(NCCN2CCOCC2)C(=O)c2ncccc21","CDC inhibitor","CDC25A|CDC25B|CDC25C","",""
"148","O=C1Nc2ccccc2/C1=C1/Nc2ccccc2/C1=N\O","O=C1Nc2ccccc2/C1=C1/Nc2ccccc2/C1=N\O","CDK inhibitor|glycogen synthase kinase inhibitor","CDK1|CDK2|CDK5|CDK5R1|GSK3B","",""
"149","O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21","O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21","indicator dye","UGT1A9","",""
"150","CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1","CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1","dopamine receptor antagonist","DRD1|DRD2|DRD3|DRD4","gastroenterology","nausea|vomiting"
"151","CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1","CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1","cyclooxygenase inhibitor","ELN|PTGS2","",""
"152","COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC","COCCCOc1cc(C[C@@H](C[C@H](N)[C@@H](O)C[C@H](C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC","renin inhibitor","REN","cardiology","hypertension"
"153","Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1","Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1","selective serotonin reuptake inhibitor (SSRI)","CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|HTR2A|SLC6A2|SLC6A4","neurology/psychiatry","depression|obsessive compulsive disorder (OCD)|generalized anxiety disorder (GAD)|panic disorders|posttraumatic stress disorder|social anxiety disorder"
"154","O=C1c2ccccc2C(Cc2ccncc2)(Cc2ccncc2)c2ccccc21","O=C1c2ccccc2C(Cc2ccncc2)(Cc2ccncc2)c2ccccc21","potassium channel blocker","KCNQ1|KCNQ2|KCNQ3|KCNQ4|KCNQ5","",""
"155","CC(=O)N(O)[C@@H]1c2cc(C#N)ccc2OC(C)(C)[C@H]1O","CC(=O)N(O)[C@@H]1c2cc(C#N)ccc2OC(C)(C)[C@H]1O","potassium channel activator","KCNJ8","",""
"156","CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1","CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1","PPAR receptor agonist","LPL|PPARA","endocrinology|cardiology","hyperlipidemia|cholesterol"
"157","COCCNC(=O)COc1ccc(OCCNC[C@@H](O)COc2ccccc2)cc1","COCCNC(=O)COc1ccc(OCCNC[C@H](O)COc2ccccc2)cc1","adrenergic receptor agonist","ADRB3","",""
"158","Cn1cc(C(=O)OCC2CCN(CCNS(C)(=O)=O)CC2)c2ccccc21","Cn1cc(C(=O)OCC2CCN(CCNS(C)(=O)=O)CC2)c2ccccc21","serotonin receptor antagonist","HTR4","",""
"159","CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](CC(=O)NO)CC(C)C","CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@@H](CC(=O)NO)CC(C)C","matrix metalloprotease inhibitor","ACAN|ADAM28|MMP1|MMP12|MMP13|MMP14|MMP2|MMP3|MMP8|MMP9","",""
"160","CCCn1c(=O)c(C)cn2nc(N)nc12","CCCn1c(=O)c(C)cn2nc(N)nc12","phosphodiesterase inhibitor","","",""
"161","COc1cc(C(=O)N2CCOCC2)cc(OC)c1OC","COc1cc(C(=O)N2CCOCC2)cc(OC)c1OC","sedative","","neurology/psychiatry","sedative"
"162","CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21","CCCN1C[C@H](CSC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21","dopamine receptor agonist","ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C","",""
"163","O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1","O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1","phosphodiesterase inhibitor","PDE3A","hematology|hematologic malignancy","thrombocythemia|myeloproliferative neoplasms"
"164","CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21","CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21","dopamine receptor antagonist","CHRM1|CHRM2|DRD1|DRD2|HTR2B","neurology/psychiatry|gastroenterology","psychosis|nausea|vomiting"
"165","OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1","OCCOCCN1CCN(C2=Nc3ccccc3Sc3ccccc32)CC1","dopamine receptor antagonist|serotonin receptor antagonist","ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|DRD5|HRH1|HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2C|HTR3A|HTR6|HTR7|SLC6A2","neurology/psychiatry","schizophrenia|bipolar disorder"
"166","CCSc1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2","CCSc1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2","dopamine receptor antagonist","DRD1|DRD2|DRD4","gastroenterology","nausea"
"167","CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2","CC(C)[N@@+]1(C)[C@H]2CC[C@@H]1C[C@H](OC(=O)[C@@H](CO)c1ccccc1)C2","acetylcholine receptor antagonist","CHRM1|CHRM2|CHRM3|CHRM4|CHRM5","pulmonary","bronchospasm|chronic obstructive pulmonary disease (COPD)|bronchitis|emphysema"
"168","O=C1CCCC2C3CC(CN12)[C@@H]1CCCCN1C3","O=C1CCC[C@@H]2[C@H]3C[C@@H](CN12)[C@@H]1CCCCN1C3","sodium channel blocker","INS","",""
"169","S=P(N1CC1)(N1CC1)N1CC1","S=P(N1CC1)(N1CC1)N1CC1","cytochrome P450 inhibitor","CYP2B6|CYP3A4","oncology","breast cancer|ovarian cancer|bladder cancer"
"170","CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1","CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1","dopamine receptor antagonist|serotonin receptor antagonist","ADRA1A|ADRA1B|ADRA2A|ADRA2B|ADRA2C|ADRB1|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|DRD5|HRH1|HRH2|HRH4|HTR1A|HTR1B|HTR1D|HTR1E|HTR2A|HTR2C|HTR3A|HTR5A|HTR6|HTR7|SLC6A2|SLC6A3|SLC6A4","neurology/psychiatry","schizophrenia"
"171","O=C(O)CCc1c(C(=O)O)[nH]c2cc(Cl)cc(Cl)c12","O=C(O)CCc1c(C(=O)O)[nH]c2cc(Cl)cc(Cl)c12","glutamate receptor antagonist","FBP1","",""
"172","c1ccc2nc(N3CCNCC3)ccc2c1","c1ccc2nc(N3CCNCC3)ccc2c1","serotonin receptor agonist","HTR1A|HTR1D|HTR2A|HTR2B|HTR2C|HTR3A|HTR3B|HTR6|SLC6A4","",""
"173","c1ccc(C2CN3CCSC3=N2)cc1","c1ccc([C@H]2CN3CCSC3=N2)cc1","immunostimulant","ALPPL2|CHRNA3","infectious disease","gastrointestinal parasites"
"174","Cc1cc(=O)n(-c2ccccc2)n1C","Cc1cc(=O)n(-c2ccccc2)n1C","cyclooxygenase inhibitor","PTGS1|PTGS2","neurology/psychiatry","pain relief"
"175","CCCc1nc(C(C)(C)O)c(C(=O)OCc2oc(=O)oc2C)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1","CCCc1nc(C(C)(C)O)c(C(=O)OCc2oc(=O)oc2C)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1","angiotensin receptor antagonist","AGTR1","cardiology","hypertension"
"176","CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1","CC(=O)Nc1ccc(OC[C@H](O)CNC(C)C)cc1","adrenergic receptor antagonist","ADRB1","",""
"177","Cc1ncc([N+](=O)[O-])n1CC(O)CCl","Cc1ncc([N+](=O)[O-])n1C[C@@H](O)CCl","antiprotozoal agent","","infectious disease","protozoan infection"
